Key Name,Friendly Name,Short Name,Legend (CP437),Xpos,Ypos,Xsize,Ysize,Usage Page,Usage ID,PS/2 Set 1 Make,PS/2 Set 1 Break,PS/2 Set 2 Make,PS/2 Set 2 Break,,
Keyboard Power,Keyboard Power,KEYPOWER,,,,,,07,66,E0 5E,E0 DE,E0 37,E0 F0 37,66,Keyboard Power1
Keypad =,Keypad Equals,PADEQUALS,3D,57,14,2,2,07,67,59,D9,0F,F0 0F,67,Keypad =
F13,F13,F13,46 31 33,6,1,3,1,07,68,64,E4,08,F0 08,68,Keyboard F13
F14,F14,F14,46 31 34,10,1,3,1,07,69,65,E5,10,F0 10,69,Keyboard F14
F15,F15,F15,46 31 35,14,1,3,1,07,6A,66,E6,18,F0 18,6A,Keyboard F15
F16,F16,F16,46 31 36,18,1,3,1,07,6B,67,E7,20,F0 20,6B,Keyboard F16
F17,F17,F17,46 31 37,23,1,3,1,07,6C,68,E8,28,F0 28,6C,Keyboard F17
F18,F18,F18,46 31 38,27,1,3,1,07,6D,69,E9,30,F0 30,6D,Keyboard F18
F19,F19,F19,46 31 39,31,1,3,1,07,6E,6A,EA,38,F0 38,6E,Keyboard F19
F20,F20,F20,46 32 30,35,1,3,1,07,6F,6B,EB,40,F0 40,6F,Keyboard F20
F21,F21,F21,46 32 31,40,1,3,1,07,70,6C,EC,48,F0 48,70,Keyboard F21
F22,F22,F22,46 32 32,44,1,3,1,07,71,6D,ED,50,F0 50,71,Keyboard F22
F23,F23,F23,46 32 33,48,1,3,1,07,72,6E,EE,57,F0 57,72,Keyboard F23
F24,F24,F24,46 32 34,52,1,3,1,07,73,76,F6,5F,F0 5F,73,Keyboard F24
Keyboard Execute,,,,,,,,07,74,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,74,Keyboard Execute
Keyboard Help,,,,,,,,07,75,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,75,Keyboard Help
Keyboard Menu,,,,,,,,07,76,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,76,Keyboard Menu
Keyboard Select,,,,,,,,07,77,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,77,Keyboard Select
Keyboard Stop,,,,,,,,07,78,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,78,Keyboard Stop
Keyboard Again,,,,,,,,07,79,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,79,Keyboard Again
Keyboard Undo,,,,,,,,07,7A,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,7A,Keyboard Undo
Keyboard Cut,,,,,,,,07,7B,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,7B,Keyboard Cut
